 FILENAME FILTER PUPIL PATT_NUM NUMDTHPT XOFFSET YOFFSET
11 jw02079004003_03101_00002_nis_rate.fits GR150R F200W 2 4 0.5678025448729311 11.10619996591912
6 jw02079004003_03101_00003_nis_rate.fits GR150R F200W 3 4 -0.5676036495955694 8.791800033878923
2 jw02079004003_04101_00001_nis_rate.fits CLEAR F200W 1 4 -0.5676036495955694 8.791800033878923
9 jw02079004003_04101_00002_nis_rate.fits CLEAR F200W 2 4 0.1844005598994758 8.590699989471686
8 jw02079004003_04101_00003_nis_rate.fits CLEAR F200W 3 4 -0.1099011061582575 9.020300005246126
19 jw02079004003_04101_00004_nis_rate.fits CLEAR F200W 4 4 9.90755673367663 -0.04639975055305728
14 jw02079004003_05101_00001_nis_rate.fits GR150C F200W 1 4 9.90755673367663 -0.04639975055305728
16 jw02079004003_05101_00002_nis_rate.fits GR150C F200W 2 4 10.47525971935736 1.1108003117203
17 jw02079004003_05101_00003_nis_rate.fits GR150C F200W 3 4 9.339853726672938 -1.203599807706022
60 jw02079004003_06101_00001_nis_rate.fits CLEAR F200W 1 4 9.339853726672938 -1.203599807706022
68 jw02079004003_06101_00002_nis_rate.fits CLEAR F200W 2 4 10.09185808994742 -1.404699729808817
64 jw02079004003_06101_00003_nis_rate.fits CLEAR F200W 3 4 9.797556305585998 -0.9750997615811072
