 FILENAME FILTER PUPIL PATT_NUM NUMDTHPT XOFFSET YOFFSET
44 jw02079004001_02101_00001_nis_cal.fits CLEAR F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
46 jw02079004001_03101_00001_nis_cal.fits GR150R F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
34 jw02079004001_03101_00001_nis_cal.fits GR150R F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
39 jw02079004001_03101_00002_nis_cal.fits GR150R F115W 2 4 0.567703175636077 1.157199971328793
40 jw02079004001_03101_00003_nis_cal.fits GR150R F115W 3 4 -0.5677031968141756 -1.157199966130463
33 jw02079004001_04101_00001_nis_cal.fits CLEAR F115W 1 4 -0.5677031968141756 -1.157199966130463
37 jw02079004001_04101_00002_nis_cal.fits CLEAR F115W 2 4 0.1843011360666677 -1.358300010927835
41 jw02079004001_04101_00003_nis_cal.fits CLEAR F115W 3 4 -0.1100005793931548 -0.9286999942600341
48 jw02079004001_04101_00004_nis_cal.fits CLEAR F115W 4 4 0.5231029766891194 0.2941999729337063
45 jw02079004001_05101_00001_nis_cal.fits GR150C F115W 1 4 0.5231029766891194 0.2941999729337063
47 jw02079004001_05101_00003_nis_cal.fits GR150C F115W 3 4 -0.04460020751474155 -0.8629999979646205
6 jw02079004001_06101_00001_nis_cal.fits CLEAR F115W 1 4 -0.04460020751474155 -0.8629999979646205
7 jw02079004001_06101_00002_nis_cal.fits CLEAR F115W 2 4 0.7074041233797782 -1.064100036193745
9 jw02079004001_06101_00003_nis_cal.fits CLEAR F115W 3 4 0.4131024057201933 -0.6345000221649078
28 jw02079004001_08101_00001_nis_cal.fits CLEAR F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
32 jw02079004001_09101_00001_nis_cal.fits GR150R F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
31 jw02079004001_09101_00002_nis_cal.fits GR150R F115W 2 4 0.567703175636077 1.157199971328793
30 jw02079004001_09101_00003_nis_cal.fits GR150R F115W 3 4 -0.5677031968141756 -1.157199966130463
43 jw02079004001_10101_00001_nis_cal.fits CLEAR F115W 1 4 -0.5677031968141756 -1.157199966130463
49 jw02079004001_10101_00002_nis_cal.fits CLEAR F115W 2 4 0.1843011360666677 -1.358300010927835
50 jw02079004001_10101_00003_nis_cal.fits CLEAR F115W 3 4 -0.1100005793931548 -0.9286999942600341
38 jw02079004001_10101_00004_nis_cal.fits CLEAR F115W 4 4 0.5231029766891194 0.2941999729337063
35 jw02079004001_11101_00001_nis_cal.fits GR150C F115W 1 4 0.5231029766891194 0.2941999729337063
42 jw02079004001_11101_00002_nis_cal.fits GR150C F115W 2 4 1.090806139708378 1.451399949155603
36 jw02079004001_11101_00003_nis_cal.fits GR150C F115W 3 4 -0.04460020751474155 -0.8629999979646205
1 jw02079004001_12101_00001_nis_cal.fits CLEAR F115W 1 4 -0.04460020751474155 -0.8629999979646205
4 jw02079004001_12101_00002_nis_cal.fits CLEAR F115W 2 4 0.7074041233797782 -1.064100036193745
5 jw02079004001_12101_00003_nis_cal.fits CLEAR F115W 3 4 0.4131024057201933 -0.6345000221649078
10 jw02079004002_02101_00001_nis_cal.fits CLEAR F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
20 jw02079004002_03101_00001_nis_cal.fits GR150R F115W 1 4 -6.1362330705844e-13 -6.2638442045859e-11
25 jw02079004002_03101_00002_nis_cal.fits GR150R F115W 2 4 0.567703175636077 1.157199971328793
21 jw02079004002_03101_00003_nis_cal.fits GR150R F115W 3 4 -0.5677031968141756 -1.157199966130463
19 jw02079004002_04101_00001_nis_cal.fits CLEAR F115W 1 4 -0.5677031968141756 -1.157199966130463
24 jw02079004002_04101_00002_nis_cal.fits CLEAR F115W 2 4 0.1843011360666677 -1.358300010927835
22 jw02079004002_04101_00003_nis_cal.fits CLEAR F115W 3 4 -0.1100005793931548 -0.9286999942600341
16 jw02079004002_04101_00004_nis_cal.fits CLEAR F115W 4 4 0.5231029766891194 0.2941999729337063
11 jw02079004002_05101_00001_nis_cal.fits GR150C F115W 1 4 0.5231029766891194 0.2941999729337063
13 jw02079004002_05101_00002_nis_cal.fits GR150C F115W 2 4 1.090806139708378 1.451399949155603
17 jw02079004002_05101_00003_nis_cal.fits GR150C F115W 3 4 -0.04460020751474155 -0.8629999979646205
26 jw02079004002_06101_00001_nis_cal.fits CLEAR F115W 1 4 -0.04460020751474155 -0.8629999979646205
29 jw02079004002_06101_00002_nis_cal.fits CLEAR F115W 2 4 0.7074041233797782 -1.064100036193745
27 jw02079004002_06101_00003_nis_cal.fits CLEAR F115W 3 4 0.4131024057201933 -0.6345000221649078
8 jw02079004002_08101_00001_nis_cal.fits CLEAR F150W 1 4 -2.2289482738691e-07 4.019200001597768
3 jw02079004002_09101_00001_nis_cal.fits GR150R F150W 1 4 -2.2289482738691e-07 4.019200001597768
0 jw02079004002_09101_00002_nis_cal.fits GR150R F150W 2 4 0.5677029167984776 5.176399972522725
2 jw02079004002_09101_00003_nis_cal.fits GR150R F150W 3 4 -0.5677033837666104 2.862000035791786
12 jw02079004002_10101_00001_nis_cal.fits CLEAR F150W 1 4 -0.5677033837666104 2.862000035791786
15 jw02079004002_10101_00002_nis_cal.fits CLEAR F150W 2 4 0.1843008992699332 2.660899991278055
14 jw02079004002_10101_00003_nis_cal.fits CLEAR F150W 3 4 -0.1100007962303942 3.090500007750328
23 jw02079004002_10101_00004_nis_cal.fits CLEAR F150W 4 4 4.021723032231222 -0.01850009308800206
18 jw02079004002_11101_00001_nis_cal.fits GR150C F150W 1 4 4.021723032231222 -0.01850009308800206
